
+---------------+       +------------------------------------------------+
| RYERSON       |       | RPM and Motor Control                          |
| APPLIED       |       | https://github.com/raalf/TestStand             |
| AERODYNAMICS  |       | Throttle %: Enter ## (0 - 100)                 |
| LABORATORY OF |       | Hold Current RPM: Enter h                      |
| FLIGHT        |       | Hold Specific RPM: Enter h #### (1000 - 9000)  |
+---------------+       +------------------------------------------------+

Warning: Do not connect power supply.

Please turn on the power supply.
Waiting to initialize...
 
Please enter the number of blades on the propeller 'b', Press ENTER:
b = 2

Ready to Stream.

Time(ms) Throttle(%) RPS   RPM   PID STATE (ERROR)
56955	22.27	16.74	1004.39	PID GOTO 1001.00	(-3.39)
57164	22.26	16.74	1004.30	PID GOTO 1001.00	(-3.30)
57373	22.26	16.72	1003.26	PID GOTO 1001.00	(-2.26)
57582	22.26	16.66	1000.03	PID GOTO 1001.00	(0.97)
57792	22.27	16.61	997.01	PID GOTO 1001.00	(3.99)
58147	22.29	16.58	994.61	PID GOTO 1500.00	(505.39)
58364	22.29	16.58	994.98	PID GOTO 1500.00	(505.02)
58575	25.32	17.98	1070.23	PID GOTO 1500.00	(429.77)
58777	25.45	19.15	1141.35	PID GOTO 1500.00	(358.65)
58963	25.52	19.96	1191.98	PID GOTO 1500.00	(308.02)
59166	25.63	20.41	1221.33	PID GOTO 1500.00	(278.67)
59364	25.79	20.64	1236.91	PID GOTO 1500.00	(263.09)
59558	25.99	20.94	1254.44	PID GOTO 1500.00	(245.56)
59751	26.17	21.15	1267.58	PID GOTO 1500.00	(232.42)
59940	26.35	21.32	1277.85	PID GOTO 1500.00	(222.15)
60129	26.53	21.49	1288.48	PID GOTO 1500.00	(211.52)
60315	26.70	21.67	1299.10	PID GOTO 1500.00	(200.90)
60500	26.85	21.82	1308.23	PID GOTO 1500.00	(191.77)
60684	27.01	22.12	1325.09	PID GOTO 1500.00	(174.91)
60866	27.12	22.34	1338.73	PID GOTO 1500.00	(161.27)
61045	27.22	22.46	1346.70	PID GOTO 1500.00	(153.30)
61223	27.35	22.61	1355.62	PID GOTO 1500.00	(144.38)
61401	27.45	22.78	1365.52	PID GOTO 1500.00	(134.48)
